ADRLVE_DISTRCT_NO		ZED_SSV_DISTRICT_DB	CHAR	40	0	Район
ADRLVE_CITY_NO			AD_CITY1		CHAR	255	0	Город
ADRLVE_STREET			AD_STREET		CHAR	60	0	Улица
ADRLVE_HOME			AD_CITYHNM		CHAR	12	0	Кодировка другого местожит. для файла города/станд. файла
ADRLVE_NUMB_ROOM		AD_ROOMNUM		CHAR	10	0	Номер квартиры или помещения
ADRLVE_DELI_SERV_NUMBER		AD_PSTCD1		CHAR	10	0	Почтовый индекс города
ADROTHER_COUNTRY		LAND1			CHAR	3	0	Код страны
ADROTHER_REGION			REGIO			CHAR	3	0	Регион (штат, федер. земля, провинция, область, графство)
ADROTHER_DISTRCT_NO		ZED_SSV_DISTRICT_DB	CHAR	40	0	Район
ADROTHER_CITY_NO		AD_CITY1		CHAR	255	0	Город
ADROTHER_STREET			AD_STREET		CHAR	60	0	Улица
ADROTHER_HOME			AD_CITYHNM		CHAR	12	0	Кодировка другого местожит. для файла города/станд. файла
ADROTHER_NUMB_ROOM		AD_ROOMNUM		CHAR	10	0	Номер квартиры или помещения
ADROTHER_DELI_SERV_NUMBER	AD_PSTCD1		CHAR	10	0	Почтовый индекс города
